segment,token,pct_a,pct_b,delta,n_a,n_b
nextgen_Sophomore_vs_rest,don't,0.0069164265129683,0.0036424768842813113,0.0032739496286869883,98,230
nextgen_Sophomore_vs_rest,dance,0.005187319884726225,0.001961333706920706,0.0032259861778055187,98,230
nextgen_Sophomore_vs_rest,while,0.00345821325648415,0.0002801905295601009,0.0031780227269240487,98,230
nextgen_Sophomore_vs_rest,open,0.004610951008645533,0.0016811431773606051,0.0029298078312849285,98,230
nextgen_Sophomore_vs_rest,love,0.007492795389048991,0.010367049593723731,-0.0028742542046747404,98,230
nextgen_Sophomore_vs_rest,world,0.002881844380403458,0.005603810591202018,-0.0027219662107985597,98,230
nextgen_Sophomore_vs_rest,around,0.00345821325648415,0.0008405715886803026,0.0026176416678038474,98,230
nextgen_Sophomore_vs_rest,most,0.00345821325648415,0.0008405715886803026,0.0026176416678038474,98,230
nextgen_Sophomore_vs_rest,happy,0.00345821325648415,0.0008405715886803026,0.0026176416678038474,98,230
nextgen_Sophomore_vs_rest,temple,0.0,0.0025217147660409078,-0.0025217147660409078,98,230
nextgen_Sophomore_vs_rest,both,0.0,0.0025217147660409078,-0.0025217147660409078,98,230
nextgen_Sophomore_vs_rest,new,0.0005763688760806917,0.0030820958251611096,-0.0025057269490804178,98,230
nextgen_Sophomore_vs_rest,find,0.00345821325648415,0.0011207621182404036,0.0023374511382437463,98,230
nextgen_Sophomore_vs_rest,real,0.002881844380403458,0.0005603810591202018,0.0023214633212832562,98,230
nextgen_Sophomore_vs_rest,sing,0.002881844380403458,0.0005603810591202018,0.0023214633212832562,98,230
nextgen_Sophomore_vs_rest,someone,0.002881844380403458,0.0005603810591202018,0.0023214633212832562,98,230
nextgen_Sophomore_vs_rest,lot,0.0011527377521613833,0.0033622863547212102,-0.002209548602559827,98,230
nextgen_Sophomore_vs_rest,less,0.0011527377521613833,0.0033622863547212102,-0.002209548602559827,98,230
nextgen_Sophomore_vs_rest,it's,0.002881844380403458,0.0050434295320818156,-0.0021615851516783575,98,230
nextgen_Sophomore_vs_rest,music,0.002881844380403458,0.0008405715886803026,0.0020412727917231556,98,230
nextgen_Sophomore_vs_rest,little,0.002881844380403458,0.0008405715886803026,0.0020412727917231556,98,230
nextgen_Sophomore_vs_rest,use,0.0,0.001961333706920706,-0.001961333706920706,98,230
nextgen_Sophomore_vs_rest,trying,0.0,0.001961333706920706,-0.001961333706920706,98,230
nextgen_Sophomore_vs_rest,everything,0.0005763688760806917,0.0025217147660409078,-0.001945345889960216,98,230
nextgen_Veteran_vs_rest,good,0.009884678747940691,0.0021290185224611454,0.007755660225479546,39,289
nextgen_Veteran_vs_rest,people,0.004942339373970346,0.012348307430274643,-0.007405968056304298,39,289
nextgen_Veteran_vs_rest,love,0.0032948929159802307,0.010219288907813498,-0.006924395991833267,39,289
nextgen_Veteran_vs_rest,new,0.008237232289950576,0.0014903129657228018,0.0067469193242277745,39,289
nextgen_Veteran_vs_rest,red,0.006589785831960461,0.0,0.006589785831960461,39,289
nextgen_Veteran_vs_rest,white,0.006589785831960461,0.0006387055567383436,0.005951080275222118,39,289
nextgen_Veteran_vs_rest,don't,0.0,0.0053225463061528635,-0.0053225463061528635,39,289
nextgen_Veteran_vs_rest,time,0.008237232289950576,0.0034064296359378327,0.004830802654012744,39,289
nextgen_Veteran_vs_rest,will,0.0,0.00468384074941452,-0.00468384074941452,39,289
nextgen_Veteran_vs_rest,default,0.006589785831960461,0.0019161166702150309,0.0046736691617454305,39,289
nextgen_Veteran_vs_rest,events,0.004942339373970346,0.0004258037044922291,0.0045165356694781165,39,289
nextgen_Veteran_vs_rest,water,0.008237232289950576,0.0038322333404300617,0.0044049989495205145,39,289
nextgen_Veteran_vs_rest,creative,0.004942339373970346,0.0006387055567383436,0.004303633817232002,39,289
nextgen_Veteran_vs_rest,each,0.004942339373970346,0.0006387055567383436,0.004303633817232002,39,289
nextgen_Veteran_vs_rest,like,0.0032948929159802307,0.007451564828614009,-0.004156671912633778,39,289
nextgen_Veteran_vs_rest,great,0.004942339373970346,0.0008516074089844582,0.004090731964985887,39,289
nextgen_Veteran_vs_rest,already,0.004942339373970346,0.0008516074089844582,0.004090731964985887,39,289
nextgen_Veteran_vs_rest,other,0.006589785831960461,0.0025548222269533745,0.004034963605007087,39,289
nextgen_Veteran_vs_rest,out,0.0,0.0038322333404300617,-0.0038322333404300617,39,289
nextgen_Veteran_vs_rest,here,0.0032948929159802307,0.00702576112412178,-0.003730868208141549,39,289
nextgen_Veteran_vs_rest,dancing,0.0,0.003619331488183947,-0.003619331488183947,39,289
nextgen_Veteran_vs_rest,dance,0.0,0.0034064296359378327,-0.0034064296359378327,39,289
nextgen_Veteran_vs_rest,tech,0.0032948929159802307,0.0,0.0032948929159802307,39,289
nextgen_Veteran_vs_rest,gets,0.0032948929159802307,0.0,0.0032948929159802307,39,289
nextgen_Veteran_vs_rest,mask,0.0032948929159802307,0.0,0.0032948929159802307,39,289
nextgen_Veteran_vs_rest,relate,0.0032948929159802307,0.0,0.0032948929159802307,39,289
nextgen_Veteran_vs_rest,would,0.0,0.003193527783691718,-0.003193527783691718,39,289
nextgen_Veteran_vs_rest,camp,0.006589785831960461,0.0034064296359378327,0.0031833561960226287,39,289
nextgen_Veteran_vs_rest,appearance,0.0032948929159802307,0.00021290185224611454,0.003081991063734116,39,289
nextgen_Veteran_vs_rest,reason,0.0032948929159802307,0.00021290185224611454,0.003081991063734116,39,289
